parent_id,child_id,parent_user,edge_type,source,child_date_unix,parent_date_unix,time_inverted,_removed_reason
25442,22401,laurent,pool,embedded,1251297360,1266854700.0,True,time_inverted
22593,22341,Open Path Music V1,pool,embedded,1251171600,1252322880.0,True,time_inverted
35514,22278,DJ Vadim,pool,embedded,1250848680,1327842300.0,True,time_inverted
35514,22191,DJ Vadim,pool,embedded,1250492160,1327842300.0,True,time_inverted
36130,22094,Rob Costlow,pool,embedded,1249933620,1331171100.0,True,time_inverted
29867,22103,fogma,pool,embedded,1249973160,1293621540.0,True,time_inverted
35514,21997,DJ Vadim,pool,embedded,1249553400,1327842300.0,True,time_inverted
22017,22007,ScOmBer,local,embedded,1249621980,1249653900.0,True,time_inverted
22025,22015,CherryGollo...,local,embedded,1249650780,1249713840.0,True,time_inverted
35514,22020,DJ Vadim,pool,embedded,1249707780,1327842300.0,True,time_inverted
36169,22027,dobroide,pool,embedded,1249715760,1331307000.0,True,time_inverted
22025,21900,CherryGollo...,local,embedded,1249004760,1249713840.0,True,time_inverted
21851,21850,Madam Snowf...,local,embedded,1248823380,1248828420.0,True,time_inverted
34693,21850,DJ Vadim,pool,embedded,1248823380,1322923200.0,True,time_inverted
35869,21814,rockwehrmann,pool,embedded,1248604380,1329804180.0,True,time_inverted
35850,21789,LG,pool,embedded,1248422400,1329683220.0,True,time_inverted
35842,21754,jobro,pool,embedded,1248195240,1329650640.0,True,time_inverted
34693,21721,DJ Vadim,pool,embedded,1248045300,1322923200.0,True,time_inverted
35017,21721,Ohrwurm,pool,embedded,1248045300,1324908180.0,True,time_inverted
35514,21689,DJ Vadim,pool,embedded,1247830980,1327842300.0,True,time_inverted
35514,21718,DJ Vadim,pool,embedded,1248024600,1327842300.0,True,time_inverted
34693,21674,DJ Vadim,pool,embedded,1247698860,1322923200.0,True,time_inverted
34693,21675,DJ Vadim,pool,embedded,1247700360,1322923200.0,True,time_inverted
35514,21690,DJ Vadim,pool,embedded,1247831640,1327842300.0,True,time_inverted
34693,21656,DJ Vadim,pool,embedded,1247564460,1322923200.0,True,time_inverted
34693,21657,DJ Vadim,pool,embedded,1247578260,1322923200.0,True,time_inverted
35514,21658,DJ Vadim,pool,embedded,1247584260,1327842300.0,True,time_inverted
35514,21629,DJ Vadim,pool,embedded,1247394000,1327842300.0,True,time_inverted
34693,21602,DJ Vadim,pool,embedded,1247170440,1322923200.0,True,time_inverted
35514,21574,DJ Vadim,pool,embedded,1246961700,1327842300.0,True,time_inverted
27284,21575,digifishmusic,pool,embedded,1246963920,1277338980.0,True,time_inverted
22593,21579,Open Path Music V1,pool,embedded,1246984020,1252322880.0,True,time_inverted
25953,21582,Syna-Max,pool,embedded,1246996860,1269188340.0,True,time_inverted
34693,21570,DJ Vadim,pool,embedded,1246945800,1322923200.0,True,time_inverted
35514,21539,DJ Vadim,pool,embedded,1246728900,1327842300.0,True,time_inverted
35514,21540,DJ Vadim,pool,embedded,1246731300,1327842300.0,True,time_inverted
34693,21483,DJ Vadim,pool,embedded,1246443900,1322923200.0,True,time_inverted
35514,21438,DJ Vadim,pool,embedded,1246132440,1327842300.0,True,time_inverted
35614,21443,csengeri,pool,embedded,1246169880,1328556660.0,True,time_inverted
35514,21425,DJ Vadim,pool,embedded,1246000440,1327842300.0,True,time_inverted
34693,21385,DJ Vadim,pool,embedded,1245697200,1322923200.0,True,time_inverted
35514,21356,DJ Vadim,pool,embedded,1245491280,1327842300.0,True,time_inverted
34693,21363,DJ Vadim,pool,embedded,1245513120,1322923200.0,True,time_inverted
34693,21317,DJ Vadim,pool,embedded,1245341880,1322923200.0,True,time_inverted
35542,21327,Christianjinnyzoe,pool,embedded,1245352920,1328108100.0,True,time_inverted
34693,21274,DJ Vadim,pool,embedded,1245114660,1322923200.0,True,time_inverted
34693,21228,DJ Vadim,pool,embedded,1244891760,1322923200.0,True,time_inverted
34693,21242,DJ Vadim,pool,embedded,1244947320,1322923200.0,True,time_inverted
34693,21166,DJ Vadim,pool,embedded,1244542800,1322923200.0,True,time_inverted
